Gene name,baseMean,log2FoldChange,lfcSE (standard error),Wald stat,P value,Adj. P value
Pax6,31.29401205,-2.392798589,0.826029447,-2.896747322,0.003770533,0.037107345
Asnsd1,45.86683376,-2.32931136,0.804324108,-2.895986005,0.003779693,0.037162195
Zbtb20,1374.808965,-1.442324987,0.498215518,-2.894982064,0.003791802,0.037245918
Ano10,83.48273936,2.532594084,0.8764164,2.889715532,0.003855906,0.037839727
Lonp1,400.3222765,1.920987493,0.665047125,2.888498304,0.003870861,0.037950553
Wnk2,166.74753,-1.854909157,0.642248739,-2.888147605,0.00387518,0.037956983
2410006H16Rik,122.8717774,1.728855936,0.598777819,2.887307915,0.003885538,0.0380225
Foxk1,190.0377768,-1.824863348,0.632300577,-2.886069401,0.003900861,0.038100495
Tpp1,323.8322772,-2.005641217,0.69489481,-2.886251544,0.003898604,0.038100495
Fam160b2,193.8271541,-1.324497304,0.459218405,-2.88424264,0.003923563,0.038286144
Rbm45,63.78523494,1.370424292,0.475341832,2.883029013,0.003938712,0.038397807
Esyt3,58.59402242,-2.675219831,0.9283725,-2.881623304,0.003956324,0.038437728
Fbxo2,132.4504595,2.598467339,0.901676222,2.881818633,0.003953872,0.038437728
Haghl,259.1336978,-2.087432214,0.724358083,-2.881768374,0.003954503,0.038437728
Inpp5f,389.8336124,1.780451973,0.61795007,2.88122303,0.003961352,0.038437728
Rorb,464.2647391,1.919427347,0.666166722,2.881301759,0.003960363,0.038437728
Ddo,54.98395148,-2.609313685,0.905935371,-2.880242642,0.003973692,0.038494321
Tm7sf3,167.1268934,-2.278421565,0.791072032,-2.880169532,0.003974614,0.038494321
Sp1,106.5212693,2.593899231,0.900951608,2.879066097,0.003988547,0.038593199
Tbc1d8b,73.14923417,-1.726625978,0.599950754,-2.877946176,0.004002734,0.038694343
Dhx8,199.4031611,1.688804403,0.586995676,2.877030397,0.004014369,0.038770651
Kcng2,147.8972011,-2.262024395,0.786343052,-2.876638115,0.004019363,0.038782732
Atl1,552.8122439,1.312787395,0.456506083,2.875728155,0.004030967,0.038822409
Pcdhb9,83.84112863,-2.905323844,1.010252088,-2.875840474,0.004029533,0.038822409
Rab3gap1,418.7311608,1.422093492,0.494674271,2.874807876,0.004042734,0.038899586
Nedd4,1742.326379,-1.100811589,0.383221393,-2.872521239,0.004072107,0.039145868
3110035E14Rik,173.8690965,-1.764000901,0.614944594,-2.868552579,0.004123547,0.039499874
Lcmt2,348.6938286,1.110134334,0.386946185,2.868963122,0.004118198,0.039499874
Rps12,450.1756411,0.998317799,0.348027323,2.868504085,0.004124179,0.039499874
Sox5,33.88520479,-2.551489469,0.889443256,-2.868636591,0.004122452,0.039499874
Cx3cl1,2584.970173,-0.738580956,0.25762043,-2.866934718,0.004144685,0.039623035
Grik3,136.2661145,-1.671431655,0.582990784,-2.866994988,0.004143896,0.039623035
Nrip3,487.1285874,1.906114156,0.665210654,2.865429385,0.004164441,0.039775213
