ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mir673,30.679142,-2.582908055,0.653957741,3.949655906,7.83E-05,0.000950991
Tmem236,18.91659774,-2.584846483,0.605374001,4.269833986,1.96E-05,0.000283638
Cx3cr1,2049.493236,-2.589493769,0.332661668,7.784166367,7.02E-15,5.59E-13
Scarna17,167.5276371,-2.596192079,0.41484434,6.258231886,3.89E-10,1.48E-08
AI314278,1341.146152,-2.604466156,0.217786357,11.95881228,5.84E-33,2.58E-30
Ccr4,353.0903205,-2.604913625,0.404916909,6.43320535,1.25E-10,5.22E-09
Pde3a,312.7242836,-2.606256854,0.372152917,7.003188032,2.50E-12,1.37E-10
Acsm2,1935.482703,-2.609720118,0.198750722,13.13061954,2.20E-39,1.61E-36
Chst3,2457.339976,-2.611380833,0.232887166,11.2130732,3.52E-29,1.16E-26
Lrrc19,457.6809902,-2.611770164,0.321277489,8.129328248,4.32E-16,3.94E-14
Lif,356.8034242,-2.616774991,0.273240483,9.576820249,1.00E-21,1.49E-19
Fbln7,93.42004245,-2.624990663,0.415610027,6.315994536,2.68E-10,1.04E-08
Gpr149,76.35379422,-2.629469346,0.376053182,6.992280536,2.70E-12,1.48E-10
Cd3d,1658.573462,-2.638704064,0.24113387,10.94290097,7.19E-28,2.12E-25
Nxnl1,82.16869417,-2.642743374,0.449817053,5.875151583,4.22E-09,1.36E-07
AU018091,87.35592415,-2.642884254,0.321560569,8.218931386,2.05E-16,1.94E-14
Pdxk-ps,110.6181861,-2.650608307,0.375656467,7.05593685,1.71E-12,9.64E-11
Nkx2-1,68.01678395,-2.653336604,0.430837755,6.158551733,7.34E-10,2.65E-08
DQ267102,358.5092462,-2.661582085,0.336290501,7.914532452,2.48E-15,2.06E-13
Kdelr2,415.8675981,-2.662792936,0.307457991,8.660672393,4.69E-18,5.40E-16
Eomes,198.2014689,-2.672377602,0.44369727,6.022975081,1.71E-09,5.80E-08
Gldn,188.4102233,-2.672924216,0.34324888,7.787131636,6.85E-15,5.49E-13
Gata3,110.9952096,-2.673058521,0.446110243,5.991923666,2.07E-09,6.96E-08
Atp8b4,102.382082,-2.681096009,0.326500953,8.211602403,2.18E-16,2.04E-14
Itgam,2019.163543,-2.688377204,0.295004683,9.112998391,8.01E-20,1.03E-17
BC089597,86.83520864,-2.69429553,0.37989922,7.092132309,1.32E-12,7.60E-11
C8a,19.79017039,-2.694483327,0.624306394,4.315963049,1.59E-05,0.000237374
Ccr9,217.1864109,-2.699793128,0.254120958,10.62404752,2.30E-26,5.38E-24
Ncmap,40.98592164,-2.705451482,0.478492382,5.654116097,1.57E-08,4.41E-07
Tmc7,211.6589405,-2.705637533,0.269402876,10.04309074,9.85E-24,1.80E-21
A730098P11Rik,482.0505498,-2.706544937,0.188988765,14.32119491,1.61E-46,2.09E-43
