,geo_accession,sampleID,age,Arc,Ctip2,Fos,Prox1,gender,exposure,cell.type,strain
X151207_A1_N_C_N_HC_3,GSM2609369,X151207_A1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A10_N_C_F_EE_2,GSM2609370,X151207_A10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_A11_N_C_F_EE_2,GSM2609371,X151207_A11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_A12_N_C_F_EE_2,GSM2609372,X151207_A12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_A2_N_C_N_HC_3,GSM2609373,X151207_A2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A3_N_C_N_HC_3,GSM2609374,X151207_A3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A4_N_C_N_HC_3,GSM2609375,X151207_A4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A6_N_C_N_EE_2,GSM2609376,X151207_A6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A7_N_C_N_EE_2,GSM2609377,X151207_A7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A8_N_C_N_EE_2,GSM2609378,X151207_A8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A9_N_C_F_EE_2,GSM2609379,X151207_A9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_B1_N_C_N_HC_3,GSM2609380,X151207_B1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_B10_N_C_F_EE_2,GSM2609381,X151207_B10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_B11_N_C_F_EE_2,GSM2609382,X151207_B11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_B12_N_C_F_EE_2,GSM2609383,X151207_B12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_B3_N_C_N_HC_3,GSM2609384,X151207_B3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_B5_N_C_N_EE_2,GSM2609385,X151207_B5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_B6_N_C_N_EE_2,GSM2609386,X151207_B6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_B7_N_C_N_EE_2,GSM2609387,X151207_B7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_B8_N_C_N_EE_2,GSM2609388,X151207_B8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_B9_N_C_F_EE_2,GSM2609389,X151207_B9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_C1_N_C_N_HC_3,GSM2609390,X151207_C1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_C10_N_C_F_EE_2,GSM2609391,X151207_C10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_C11_N_C_F_EE_2,GSM2609392,X151207_C11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_C12_N_C_F_EE_2,GSM2609393,X151207_C12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_C2_N_C_N_HC_3,GSM2609394,X151207_C2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_C3_N_C_N_HC_3,GSM2609395,X151207_C3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_C4_N_C_N_HC_3,GSM2609396,X151207_C4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_C5_N_C_N_EE_2,GSM2609397,X151207_C5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_C6_N_C_N_EE_2,GSM2609398,X151207_C6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,Sub,C57BL6
X151207_C7_N_C_N_EE_2,GSM2609399,X151207_C7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_C8_N_C_N_EE_2,GSM2609400,X151207_C8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_C9_N_C_F_EE_2,GSM2609401,X151207_C9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_D1_N_C_N_HC_3,GSM2609402,X151207_D1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_D10_N_C_F_EE_2,GSM2609403,X151207_D10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_D11_N_C_F_EE_2,GSM2609404,X151207_D11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_D12_N_C_F_EE_2,GSM2609405,X151207_D12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_D2_N_C_N_HC_3,GSM2609406,X151207_D2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,Sub,C57BL6
X151207_D3_N_C_N_HC_3,GSM2609407,X151207_D3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_D4_N_C_N_HC_3,GSM2609408,X151207_D4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_D5_N_C_N_EE_2,GSM2609409,X151207_D5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_D6_N_C_N_EE_2,GSM2609410,X151207_D6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_D7_N_C_N_EE_2,GSM2609411,X151207_D7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_D8_N_C_N_EE_2,GSM2609412,X151207_D8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_D9_N_C_F_EE_2,GSM2609413,X151207_D9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_E1_N_C_N_HC_3,GSM2609414,X151207_E1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_E10_N_C_F_EE_2,GSM2609415,X151207_E10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_E11_N_C_F_EE_2,GSM2609416,X151207_E11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_E12_N_C_F_EE_2,GSM2609417,X151207_E12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_E2_N_C_N_HC_3,GSM2609418,X151207_E2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_E3_N_C_N_HC_3,GSM2609419,X151207_E3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_E4_N_C_N_HC_3,GSM2609420,X151207_E4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_E5_N_C_N_EE_2,GSM2609421,X151207_E5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,Sub,C57BL6
X151207_E6_N_C_N_EE_2,GSM2609422,X151207_E6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,VIP,C57BL6
X151207_E7_N_C_N_EE_2,GSM2609423,X151207_E7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,Sub,C57BL6
X151207_E8_N_C_N_EE_2,GSM2609424,X151207_E8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,Ivy,C57BL6
X151207_E9_N_C_F_EE_2,GSM2609425,X151207_E9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_F1_N_C_N_HC_3,GSM2609426,X151207_F1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_F10_N_C_F_EE_2,GSM2609427,X151207_F10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_F11_N_C_F_EE_2,GSM2609428,X151207_F11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_F12_N_C_F_EE_2,GSM2609429,X151207_F12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_F2_N_C_N_HC_3,GSM2609430,X151207_F2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_F3_N_C_N_HC_3,GSM2609431,X151207_F3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_F4_N_C_N_HC_3,GSM2609432,X151207_F4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_F5_N_C_N_EE_2,GSM2609433,X151207_F5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_F6_N_C_N_EE_2,GSM2609434,X151207_F6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,Sub,C57BL6
X151207_F7_N_C_N_EE_2,GSM2609435,X151207_F7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_F9_N_C_F_EE_2,GSM2609436,X151207_F9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_G1_N_C_N_HC_3,GSM2609437,X151207_G1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_G10_N_C_F_EE_2,GSM2609438,X151207_G10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_G11_N_C_F_EE_2,GSM2609439,X151207_G11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_G12_N_C_F_EE_2,GSM2609440,X151207_G12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_G2_N_C_N_HC_3,GSM2609441,X151207_G2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_G3_N_C_N_HC_3,GSM2609442,X151207_G3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,DG,C57BL6
X151207_G4_N_C_N_HC_3,GSM2609443,X151207_G4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_G5_N_C_N_EE_2,GSM2609444,X151207_G5_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_G6_N_C_N_EE_2,GSM2609445,X151207_G6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,VIP,C57BL6
X151207_G8_N_C_N_EE_2,GSM2609446,X151207_G8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_G9_N_C_F_EE_2,GSM2609447,X151207_G9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_H1_N_C_N_HC_3,GSM2609448,X151207_H1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_H10_N_C_F_EE_2,GSM2609449,X151207_H10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_H11_N_C_F_EE_2,GSM2609450,X151207_H11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_H12_N_C_F_EE_2,GSM2609451,X151207_H12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_H2_N_C_N_HC_3,GSM2609452,X151207_H2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_H3_N_C_N_HC_3,GSM2609453,X151207_H3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_H6_N_C_N_EE_2,GSM2609454,X151207_H6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_H7_N_C_N_EE_2,GSM2609455,X151207_H7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_H8_N_C_N_EE_2,GSM2609456,X151207_H8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151214_A11_P_C_F_EE_3,GSM2609457,X151214_A11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_A2_P_C_N_EE_3,GSM2609458,X151214_A2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_A3_P_C_N_EE_3,GSM2609459,X151214_A3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_A9_P_C_F_EE_3,GSM2609460,X151214_A9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_B10_P_C_F_EE_3,GSM2609461,X151214_B10_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_B11_P_C_F_EE_3,GSM2609462,X151214_B11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_B12_P_C_F_EE_3,GSM2609463,X151214_B12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_B2_P_C_N_EE_3,GSM2609464,X151214_B2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_B3_P_C_N_EE_3,GSM2609465,X151214_B3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_B4_P_C_N_EE_3,GSM2609466,X151214_B4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_B9_P_C_F_EE_3,GSM2609467,X151214_B9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_C1_P_C_N_EE_3,GSM2609468,X151214_C1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_C10_P_C_F_EE_3,GSM2609469,X151214_C10_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_C11_P_C_F_EE_3,GSM2609470,X151214_C11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_C12_P_C_F_EE_3,GSM2609471,X151214_C12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_C2_P_C_N_EE_3,GSM2609472,X151214_C2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_C3_P_C_N_EE_3,GSM2609473,X151214_C3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_C4_P_C_N_EE_3,GSM2609474,X151214_C4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_C9_P_C_F_EE_3,GSM2609475,X151214_C9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_D1_P_C_N_EE_3,GSM2609476,X151214_D1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_D10_P_C_F_EE_3,GSM2609477,X151214_D10_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_D11_P_C_F_EE_3,GSM2609478,X151214_D11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_D12_P_C_F_EE_3,GSM2609479,X151214_D12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_D2_P_C_N_EE_3,GSM2609480,X151214_D2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_D3_P_C_N_EE_3,GSM2609481,X151214_D3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_D4_P_C_N_EE_3,GSM2609482,X151214_D4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_D9_P_C_F_EE_3,GSM2609483,X151214_D9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_E1_P_C_N_EE_3,GSM2609484,X151214_E1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_E11_P_C_F_EE_3,GSM2609485,X151214_E11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_E12_P_C_F_EE_3,GSM2609486,X151214_E12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_E2_P_C_N_EE_3,GSM2609487,X151214_E2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_E3_P_C_N_EE_3,GSM2609488,X151214_E3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_E4_P_C_N_EE_3,GSM2609489,X151214_E4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_E9_P_C_F_EE_3,GSM2609490,X151214_E9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_F1_P_C_N_EE_3,GSM2609491,X151214_F1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_F11_P_C_F_EE_3,GSM2609492,X151214_F11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_F12_P_C_F_EE_3,GSM2609493,X151214_F12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_F2_P_C_N_EE_3,GSM2609494,X151214_F2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_F3_P_C_N_EE_3,GSM2609495,X151214_F3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_F4_P_C_N_EE_3,GSM2609496,X151214_F4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_G1_P_C_N_EE_3,GSM2609497,X151214_G1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_G10_P_C_F_EE_3,GSM2609498,X151214_G10_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_G11_P_C_F_EE_3,GSM2609499,X151214_G11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_G12_P_C_F_EE_3,GSM2609500,X151214_G12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_G2_P_C_N_EE_3,GSM2609501,X151214_G2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_G3_P_C_N_EE_3,GSM2609502,X151214_G3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_G4_P_C_N_EE_3,GSM2609503,X151214_G4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_G9_P_C_F_EE_3,GSM2609504,X151214_G9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_H1_P_C_N_EE_3,GSM2609505,X151214_H1_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_H10_P_C_F_EE_3,GSM2609506,X151214_H10_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_H11_P_C_F_EE_3,GSM2609507,X151214_H11_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_H12_P_C_F_EE_3,GSM2609508,X151214_H12_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151214_H2_P_C_N_EE_3,GSM2609509,X151214_H2_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_H3_P_C_N_EE_3,GSM2609510,X151214_H3_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_H4_P_C_N_EE_3,GSM2609511,X151214_H4_P_C_N_EE_3,8.7,No,Yes,No,Yes,Female,1hr,DG,C57BL6
X151214_H9_P_C_F_EE_3,GSM2609512,X151214_H9_P_C_F_EE_3,8.7,No,Yes,Yes,Yes,Female,1hr,DG,C57BL6
X151221_01,GSM2609513,X151221_01,9,No,No,No,No,Female,HC,CA1,C57BL6
X151221_02,GSM2609514,X151221_02,9,No,No,No,No,Female,HC,CA1,C57BL6
X151221_03,GSM2609515,X151221_03,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_04,GSM2609516,X151221_04,9,No,No,No,No,Female,HC,CA1,C57BL6
X151221_05,GSM2609517,X151221_05,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_06,GSM2609518,X151221_06,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_07,GSM2609519,X151221_07,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_08,GSM2609520,X151221_08,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_09,GSM2609521,X151221_09,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_10,GSM2609522,X151221_10,9,No,No,No,No,Female,HC,VIP,C57BL6
X151221_11,GSM2609523,X151221_11,9,No,No,No,No,Female,HC,Sub,C57BL6
X151221_12,GSM2609524,X151221_12,9,No,No,No,No,Female,HC,Pvalb,C57BL6
X151221_13,GSM2609525,X151221_13,9,No,No,No,No,Female,HC,CA3,C57BL6
X151221_14,GSM2609526,X151221_14,9,No,No,No,No,Female,HC,Pvalb,C57BL6
X151221_15,GSM2609527,X151221_15,9,No,No,No,No,Female,HC,VIP,C57BL6
X151221_16,GSM2609528,X151221_16,9,No,No,No,No,Female,HC,CA1,C57BL6
X151221_17,GSM2609529,X151221_17,9,No,No,No,No,Female,1hr,CA1,C57BL6
X151221_18,GSM2609530,X151221_18,9,No,No,No,No,Female,1hr,Sub,C57BL6
X151221_19,GSM2609531,X151221_19,9,No,No,No,No,Female,1hr,CA1,C57BL6
X151221_20,GSM2609532,X151221_20,9,No,No,No,No,Female,1hr,CA3,C57BL6
X151221_21,GSM2609533,X151221_21,9,No,No,No,No,Female,1hr,CA3,C57BL6
X151221_22,GSM2609534,X151221_22,9,No,No,No,No,Female,1hr,Ivy,C57BL6
X151221_23,GSM2609535,X151221_23,9,No,No,No,No,Female,1hr,CA1,C57BL6
X151221_24,GSM2609536,X151221_24,9,No,No,No,No,Female,1hr,Sub,C57BL6
X151221_25,GSM2609537,X151221_25,9,No,No,No,No,Female,1hr,CA1,C57BL6
X151221_26,GSM2609538,X151221_26,9,No,No,No,No,Female,1hr,CA3,C57BL6
X151221_27,GSM2609539,X151221_27,9,No,No,No,No,Female,1hr,CA3,C57BL6
X151221_28,GSM2609540,X151221_28,9,No,No,No,No,Female,1hr,Ivy,C57BL6
X151221_29,GSM2609541,X151221_29,9,No,No,No,No,Female,1hr,CA3,C57BL6
X151221_30,GSM2609542,X151221_30,9,No,No,No,No,Female,1hr,CA1,C57BL6
X151221_31,GSM2609543,X151221_31,9,No,No,No,No,Female,1hr,Sub,C57BL6
X151221_32,GSM2609544,X151221_32,9,No,No,No,No,Female,1hr,Sub,C57BL6
X151221_33,GSM2609545,X151221_33,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_34,GSM2609546,X151221_34,9,No,No,Yes,No,Female,1hr,Pvalb,C57BL6
X151221_35,GSM2609547,X151221_35,9,No,No,Yes,No,Female,1hr,Pvalb,C57BL6
X151221_36,GSM2609548,X151221_36,9,No,No,Yes,No,Female,1hr,Sub,C57BL6
X151221_37,GSM2609549,X151221_37,9,No,No,Yes,No,Female,1hr,CA1,C57BL6
X151221_38,GSM2609550,X151221_38,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_39,GSM2609551,X151221_39,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_40,GSM2609552,X151221_40,9,No,No,Yes,No,Female,1hr,Sub,C57BL6
X151221_41,GSM2609553,X151221_41,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_42,GSM2609554,X151221_42,9,No,No,Yes,No,Female,1hr,CA1,C57BL6
X151221_43,GSM2609555,X151221_43,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_44,GSM2609556,X151221_44,9,No,No,Yes,No,Female,1hr,CA1,C57BL6
X151221_45,GSM2609557,X151221_45,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_46,GSM2609558,X151221_46,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X151221_47,GSM2609559,X151221_47,9,No,No,Yes,No,Female,1hr,CA1,C57BL6
X151221_48,GSM2609560,X151221_48,9,No,No,Yes,No,Female,1hr,CA3,C57BL6
X160107_01,GSM2609561,X160107_01,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_02,GSM2609562,X160107_02,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_03,GSM2609563,X160107_03,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_04,GSM2609564,X160107_04,9,No,No,No,Yes,Female,HC,Ivy,C57BL6
X160107_05,GSM2609565,X160107_05,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_06,GSM2609566,X160107_06,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_07,GSM2609567,X160107_07,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_08,GSM2609568,X160107_08,9,No,No,No,Yes,Female,HC,DG,C57BL6
X160107_09,GSM2609569,X160107_09,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_10,GSM2609570,X160107_10,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_11,GSM2609571,X160107_11,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_12,GSM2609572,X160107_12,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_13,GSM2609573,X160107_13,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_14,GSM2609574,X160107_14,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_15,GSM2609575,X160107_15,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_16,GSM2609576,X160107_16,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_17,GSM2609577,X160107_17,9,No,No,No,Yes,Female,HC,VIP,C57BL6
X160107_18,GSM2609578,X160107_18,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
X160107_19,GSM2609579,X160107_19,9,No,No,No,Yes,Female,1hr,VIP,C57BL6
